2018-02-04 22:08:13 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.getTransactionManager(165) - ***HIBERNATE*** - HibernateTransactionManager initialized - HIBERNATE -
2018-02-04 22:08:13 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.getSimpleMessage(184) - SimpleMailMessage initialized
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.getJavaMailSender(207) - JavaMailMessage initialized
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.addInterceptors(122) - Interceptor added urls: /* /**
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.addFormatters(104) - Converter initialized, it converts string values[Roles] to UserProfiles
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.configureDefaultServletHandling(110) - DefaultServletHandlerConfigurer inizialized
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(65) - InternalResourceViewResolver inizialized
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(70) - resolver setting prefix /WEB-INF/views/
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(72) - resolver setting suffix .jsp
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(75) - org.springframework.web.servlet.view.JstlView.class set as view class
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(82) - InternalResourceViewResolver for html inizialized
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(87) - resolver setting prefix /WEB-INF/views/
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(89) - resolver setting suffix .html
2018-02-04 22:08:14 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(92) - org.springframework.web.servlet.view.JstlView.class set as view class
2018-02-04 22:08:15 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.configure(170) - WebSecurityConfig$$EnhancerBySpringCGLIB$$c248785d::configure view permit
2018-02-04 22:08:15 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.configure(171) - WebSecurityConfig$$EnhancerBySpringCGLIB$$c248785d initialized
2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.messageSource(74) - MessageSource initialized
2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.dataSource(142) - ***HIBERNATE*** - DB DataSource initialized - HIBERNATE -
2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.getSessionFactory(150) - ***HIBERNATE*** - LocalSessionFactoryBean initialized - HIBERNATE -
2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.getSessionFactory(152) - ***HIBERNATE*** - HibernateProperties initialized - HIBERNATE -
2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.setApplicationContext(55) - InternalResourceViewResolver inizialized
2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.getAuthenticationTrustResolver(111) - AuthenticationTrustResolver  initialized
